"text","created","url","latitude","longitude","retweets","hashtag"
"Steve Ells wanted to open a fine-dining restaurant, instead he built a burrito empire https://t.co/FiDSOqV959",2017-11-29 22:12:24,"https://twitter.com/CNBC/status/935994883852177411",NA,NA,0,"chipotle"
"Tif buying me Chipotle tonight <ed><a0><bd><ed><b8><81><ed><a0><bd><ed><b8><81>",2017-11-29 22:11:59,"https://twitter.com/nicolex__/status/935994776813473793",NA,NA,0,"chipotle"
"Trying to decide if I wanna get chipotle before class... ima be a lil late but I haven't ate all day",2017-11-29 22:11:52,"https://twitter.com/lelenicole_/status/935994747218464769",NA,NA,0,"chipotle"
"Ideally, I<e2><80><99>d have a button under my desk that could order and deliver my usual Chipotle burrito.",2017-11-29 22:11:46,"https://twitter.com/ahmcginnis/status/935994723852062720",NA,NA,0,"chipotle"
"Chipotle queso is garbage, yet I ordered I again https://t.co/Qd6NyMR2ga",2017-11-29 22:11:45,"https://twitter.com/tayylalala/status/935994717971599361",NA,NA,0,"chipotle"
"Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells https://t.co/i5Drw8EHh6",2017-11-29 22:11:18,"https://twitter.com/LizGelardi/status/935994605790683136",NA,NA,0,"chipotle"
"Who else be full af hours after eating chipotle?",2017-11-29 22:11:11,"https://twitter.com/DariusWhite7/status/935994575247806464",NA,NA,1,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/YQMhua1Htk",2017-11-29 22:11:07,"https://twitter.com/AlliyahTraynham/status/935994557308768261",NA,NA,0,"chipotle"
"#Business  Chipotle's Next CEO May Need to Be Less Gourmet Chef, More McDonald's Manager<e2><80><a6> https://t.co/7QQmsWBtNl",2017-11-29 22:10:53,"https://twitter.com/openomroep/status/935994500505309184",NA,NA,0,"chipotle"
"I should really get chipotle after work",2017-11-29 22:10:49,"https://twitter.com/_xdanitha/status/935994484579500032",NA,NA,0,"chipotle"
"Treated myself to chipotle cause I deserve it",2017-11-29 22:10:48,"https://twitter.com/ThisKiddoNick/status/935994481135951872",NA,NA,0,"chipotle"
"<e2><80><9c>What would you like on your sandwich?<e2><80><9d>

Ham, Black Forrest ham, roast beef, turkey, chicken, roast chicken, fried<e2><80><a6> https://t.co/izOLljYKRE",2017-11-29 22:10:31,"https://twitter.com/leannuh_renay/status/935994407475695618",NA,NA,0,"chipotle"
"If you get double sour cream at #Chipotle, you<e2><80><99>re a convicted felon",2017-11-29 22:10:29,"https://twitter.com/Goodie_MAB/status/935994401578536960",NA,NA,0,"chipotle"
"@Clark_The_Nark @brotips @jbebeau8 <ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82> bad time for chipotle lol",2017-11-29 22:10:27,"https://twitter.com/D_Armstrong6/status/935994390245494785",NA,NA,0,"chipotle"
"Like gimme a girl that'll workout and eat chipotle with me everyday and we'll last forever",2017-11-29 22:10:15,"https://twitter.com/JakeWisniewski/status/935994341771882497",NA,NA,0,"chipotle"
"Always catch me @ chipotle",2017-11-29 22:10:11,"https://twitter.com/chowdhss/status/935994323367288832",NA,NA,0,"chipotle"
"Wannna get some chipotle @ImZachHerron",2017-11-29 22:10:03,"https://twitter.com/OnlyAngelSeavey/status/935994290177761280",NA,NA,0,"chipotle"
"If u saw a girl throwing up in front of chipotle on 6 like 20 minutes ago,, it definitely WASNT me",2017-11-29 22:09:36,"https://twitter.com/gste0rts/status/935994176876969984",NA,NA,0,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/WPJH77Zly8",2017-11-29 22:09:19,"https://twitter.com/hermanshin/status/935994104546250753",NA,NA,0,"chipotle"
"REUTERS: Chipotle seeks turnaround expert to replace Ells as CEO https://t.co/9DRqR7FIsn",2017-11-29 22:09:18,"https://twitter.com/TheBFRoom/status/935994101757104128",NA,NA,0,"chipotle"
"@CreatedByEric I'm sorry about that. Please write our CS team at https://t.co/nrhUDiEk7G. -Gabe",2017-11-29 22:09:00,"https://twitter.com/ChipotleTweets/status/935994027077455872",NA,NA,0,"chipotle"
"Stagg Chargers get to Chipotle in Oak Lawn like now!  From 4-8pm, tonight only, half of proceeds go to PTO! https://t.co/Tu5tQz1FgJ",2017-11-29 22:09:00,"https://twitter.com/KyleNeputy/status/935994025970200576",NA,NA,0,"chipotle"
"@ChipotleTweets 

Not even close to what I ordered. So disappointed. This the last time I order online from that Ch<e2><80><a6> https://t.co/fmM88PShtu",2017-11-29 22:08:50,"https://twitter.com/ferndogg/status/935993982655406082",NA,NA,0,"chipotle"
"iTS <e2><80><9c>OMG I LOVe chIPOTLE, CHIPOTLE IS MY LIFE<e2><80><9d> HAVE... <e2><80><94> No girl I<e2><80><99>m uneducated on vines I never had it  https://t.co/aNTDieHT7g",2017-11-29 22:08:48,"https://twitter.com/happysocksni/status/935993975512666112",NA,NA,0,"chipotle"
"No one will ever convince me Qdoba is better than Chipotle. Chipotle is just better in every single way",2017-11-29 22:08:39,"https://twitter.com/_michaeljkelly_/status/935993938791620608",NA,NA,0,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/omNTcNxwYq",2017-11-29 22:08:29,"https://twitter.com/aDFWTaxiCab/status/935993898316587009",NA,NA,0,"chipotle"
"FWIW I have to agree w/ @TMFJMo - a CEO shakeup is a net positive $CMG <ed><a0><bd><ed><b1><8d>

Chipotle Looks 'Worrisome' With the Lates<e2><80><a6> https://t.co/0coUlIqdkN",2017-11-29 22:08:11,"https://twitter.com/shonkori/status/935993819702726658",NA,NA,0,"chipotle"
"How I was downgraded from Chipotle to Taco Bell in less than 5 secs. What ? #HerandI https://t.co/SNChu0ts0U",2017-11-29 22:07:53,"https://twitter.com/KillahTrakz/status/935993745912279040",NA,NA,0,"chipotle"
"Please stop by Chipotle next Tuesday night for dinner and help @UNCSAAC raise money for Save our Girls! Save our Gi<e2><80><a6> https://t.co/zzDf64B8W5",2017-11-29 22:07:34,"https://twitter.com/mrlittrell/status/935993666690105344",NA,NA,1,"chipotle"
"Mr. Perras and Mr. Merten are offering extra credit if you bring in your receipt from Chipotle! Please come out and<e2><80><a6> https://t.co/umMcSJ5sev",2017-11-29 22:07:26,"https://twitter.com/ryankelleher04/status/935993631592284161",NA,NA,0,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/gRennshnks",2017-11-29 22:07:23,"https://twitter.com/DavidaStaab/status/935993619248541697",NA,NA,0,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/g7EZB1q3J4",2017-11-29 22:07:19,"https://twitter.com/brendoncri/status/935993601477283840",NA,NA,0,"chipotle"
"""Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells"" by TIFFANY HSU via NYT https://t.co/hmKoeXFvRW",2017-11-29 22:07:06,"https://twitter.com/AmeliaJRobinson/status/935993546578038784",NA,NA,0,"chipotle"
"Chipotle Lime Steak Kebabs with Cilantro Lime Rice https://t.co/zUPWpXCene #Recipe #Food #Delicious #Recipes https://t.co/qTrXh8gPbo",2017-11-29 22:07:01,"https://twitter.com/MarlaMeridith/status/935993527644884992",NA,NA,0,"chipotle"
"The fact that I can order from my app for chipotle makes me so happy <ed><a0><bd><ed><b8><81><ed><a0><bd><ed><b8><81><ed><a0><bd><ed><b8><8b><ed><a0><bd><ed><b8><8b>",2017-11-29 22:06:57,"https://twitter.com/_MinnieMina/status/935993509651329024",NA,NA,0,"chipotle"
"I<e2><80><99>m in the mood for chipotle even when I<e2><80><99>m not in the mood for chipotle <ed><a0><bd><ed><b8><b3>",2017-11-29 22:06:55,"https://twitter.com/jamesdotcom/status/935993502206439425",NA,NA,0,"chipotle"
"shoutout to the worker at chipotle who gave me 2 FULL scoops of chicken",2017-11-29 22:06:22,"https://twitter.com/dannyramirez_3/status/935993363362222080",NA,NA,0,"chipotle"
"@_itslikethat_ Go to chipotle for me Lil bra",2017-11-29 22:06:14,"https://twitter.com/Trent_Gone/status/935993328256118785",NA,NA,0,"chipotle"
"Troubled Chipotle Replacing Its C.E.O., Founder Steve Ells via @nytimes https://t.co/oTGep9WIPp #ActivistInvestor",2017-11-29 22:06:07,"https://twitter.com/TTFacer/status/935993299613224960",NA,NA,0,"chipotle"
"My friend was happy because she got free Chipotle. I wouldnt eat that garbage if it was handed to me.",2017-11-29 22:05:50,"https://twitter.com/RedskinVerified/status/935993229299867650",NA,NA,0,"chipotle"
"I know I<e2><80><99>m late to the party but I need to publicly agree that chipotle queso is super mediocre",2017-11-29 22:05:50,"https://twitter.com/rosenburger_/status/935993227815145474",NA,NA,0,"chipotle"
"Sitting at a bar and hearing mainstream country for the first time in a while. 

It<e2><80><99>s like seeing an ex at Chipotle<e2><80><a6> https://t.co/HmVBq7BukM",2017-11-29 22:05:50,"https://twitter.com/JRtheRebel/status/935993227575988225",NA,NA,0,"chipotle"
"COME SUPORT BEAUMONT PROM NEXT WEDNESDAY, DEC. 6th at the CEDAR CHIPOTLE!! just show them this flyer either a paper<e2><80><a6> https://t.co/6oIas3nhh4",2017-11-29 22:05:49,"https://twitter.com/bmont2018/status/935993223847260162",NA,NA,1,"chipotle"
"#Chipotle seeks #CEO successor with turnaround expertise https://t.co/eD4Q3ly6Pt #people #finance #fastcasual<e2><80><a6> https://t.co/bnUWfgctsk",2017-11-29 22:05:48,"https://twitter.com/NRNonline/status/935993222131847168",NA,NA,1,"chipotle"
"Reuters: Chipotle seeks turnaround expert to replace Ells as CEO https://t.co/GzvyvyYE2m",2017-11-29 22:05:36,"https://twitter.com/phaxyn/status/935993170869055488",NA,NA,0,"chipotle"
"I know that hotel room smell like butthole and chipotle chips!<ed><a0><bd><ed><b8><ad><ed><a0><be><ed><b4><a3>",2017-11-29 22:05:31,"https://twitter.com/SPARKK22/status/935993151873060865",NA,NA,0,"chipotle"
"Some customer at chipotle literally came up to me to ask why my bowl had so much<ed><a0><bd><ed><b8><82>",2017-11-29 22:05:30,"https://twitter.com/kxxlee/status/935993144449024000",NA,NA,0,"chipotle"
"@FauxDxn Seems like you need it. I'll get chipotle. I'm in on my own tonight anyway.",2017-11-29 22:05:26,"https://twitter.com/tylcrjoseph21/status/935993130696011777",NA,NA,0,"chipotle"
"I think I need chipotle .",2017-11-29 22:05:25,"https://twitter.com/lilbooty__bri/status/935993122710065152",NA,NA,0,"chipotle"
"Chipotle is looking for a new CEO to replace founder Steve Ells https://t.co/mvX0V71bQ4 via @thedrum",2017-11-29 22:05:24,"https://twitter.com/MindaSmiley/status/935993121577623553",NA,NA,0,"chipotle"
"Day .4<ef><b8><8f><e2><83><a3>1<ef><b8><8f><e2><83><a3>1<ef><b8><8f><e2><83><a3>.<e2><99><bb><ef><b8><8f>11.29.17<e2><99><bb><ef><b8><8f>
Let me give you the 411 on the legendary Gandhi 
#FreeChipotle

@ChipotleUK<e2><80><a6> https://t.co/Be7KyTuMH0",2017-11-29 22:05:18,"https://twitter.com/FreeChipotIe/status/935993094264279047",NA,NA,0,"chipotle"
